Latitud,Longitud ,categoria,area,area_constr
-12.105644,-77.025705,1,13.72,63.92
-12.138068,-76.98566,1,32.93,111.12
-12.076288,-77.090878,3,5.09,106.22
-8.381362,-74.53793,4,329.50,0.00
-12.091392,-77.05585,3,3.16,57.77
-14.074475,-75.7377,2,130.55,424.65
-12.117501,-77.004499,1,16.02,117.25
-12.076824,-76.93181,5,600.00,356.70
-12.082349,-77.09429,1,12.82,78.76
-12.11879,-77.017988,1,4.77,71.99
-12.104433,-77.00559,1,36.76,91.71
-12.13018,-77.002441,1,47.00,132.13
-12.100287,-77.054893,1,64.63,149.85
-7.14709,-78.524108,2,211.02,341.00
-12.079024,-75.227955,5,327.10,354.95
-12.003092,-77.060396,1,28.50,123.93
-12.063938,-76.962239,1,19.17,100.00
-13.276218,-72.211547,4,1091.00,95.52
-12.084325,-77.053643,5,940.00,926.18
-12.09879,-76.992393,1,26.59,103.00
-12.068232,-77.008889,5,204.99,210.00
-15.838315,-70.028631,2,176.25,186.25
-12.102242,-77.060239,5,242.70,208.78
-13.16259,-74.23367,5,262.80,127.00
-11.25151611,-74.63848083,2,133.75,626.50
-11.951106,-77.09229,1,14.63,72.47
-12.083087,-76.982645,1,26.75,94.14
-12.12733,-76.986538,1,24.23,108.28
-12.052248,-77.096312,1,20.44,65.20
-12.089857,-76.989225,5,351.60,396.20
-5.160442,-80.634465,5,148.00,185.59
-12.102646,-76.992031,1,51.69,166.31
-12.099989,-76.944617,5,204.50,237.00
-17.058212,-71.95983,5,144.00,108.78
-9.926484,-76.235595,5,214.74,150.00
-12.1150601,-77.0039577,1,7.69,67.90
-12.132796,-77.02946,1,76.94,331.18
-12.088273,-77.06492,1,5.01,89.00
-12.354896,-76.808597,5,330.00,452.74
-12.019965,-77.012211,1,23.33,75.75
-16.452739,-71.549772,5,180.00,214.40
-12.08186,-76.960206,1,42.15,295.42
-3.7375,-73.249222,2,254.75,220.46
-12.09122,-77.042927,1,26.80,145.77
-12.059573,-77.127952,3,169.77,649.85
-8.103492,-79.03124,5,200.00,282.00
-8.131008,-79.042109,1,12.13,116.00
-12.084316,-77.052331,1,4.63,63.98
-12.049741,-77.041223,5,103.44,337.81
-12.138765,-77.00466,1,32.04,112.47
-12.119951,-77.001146,5,160.00,169.00
